Elapsed Time : 0.00, Accuracy : 100.00
Elapsed Time : 1.00, Accuracy : 100.00
Elapsed Time : 2.01, Accuracy : 100.00
Elapsed Time : 3.01, Accuracy : 100.00
Elapsed Time : 4.01, Accuracy : 100.00
Elapsed Time : 5.02, Accuracy : 100.00
Elapsed Time : 6.02, Accuracy : 100.00
Elapsed Time : 7.03, Accuracy : 100.00
Elapsed Time : 8.03, Accuracy : 100.00
Elapsed Time : 9.04, Accuracy : 100.00
Elapsed Time : 10.04, Accuracy : 100.00
Elapsed Time : 11.04, Accuracy : 100.00
Elapsed Time : 12.04, Accuracy : 100.00
Elapsed Time : 13.05, Accuracy : 100.00
Elapsed Time : 14.05, Accuracy : 100.00
Elapsed Time : 15.05, Accuracy : 100.00
Elapsed Time : 16.06, Accuracy : 100.00
Elapsed Time : 17.06, Accuracy : 100.00
Elapsed Time : 18.07, Accuracy : 100.00
Elapsed Time : 19.07, Accuracy : 100.00
Elapsed Time : 20.08, Accuracy : 100.00
Elapsed Time : 21.08, Accuracy : 100.00
Elapsed Time : 22.08, Accuracy : 100.00
Elapsed Time : 23.08, Accuracy : 100.00
Elapsed Time : 24.09, Accuracy : 100.00
Elapsed Time : 25.09, Accuracy : 100.00
Elapsed Time : 26.09, Accuracy : 100.00
Elapsed Time : 27.10, Accuracy : 100.00
Elapsed Time : 28.10, Accuracy : 100.00
Elapsed Time : 29.11, Accuracy : 100.00
Elapsed Time : 30.12, Accuracy : 100.00
Elapsed Time : 31.12, Accuracy : 100.00
Elapsed Time : 32.13, Accuracy : 100.00
Elapsed Time : 33.13, Accuracy : 100.00
Elapsed Time : 34.13, Accuracy : 100.00
Elapsed Time : 35.13, Accuracy : 100.00
Elapsed Time : 36.14, Accuracy : 100.00
Elapsed Time : 37.14, Accuracy : 100.00
Elapsed Time : 38.14, Accuracy : 100.00
Elapsed Time : 39.15, Accuracy : 97.50
Elapsed Time : 40.15, Accuracy : 97.56
Elapsed Time : 41.15, Accuracy : 97.62
Elapsed Time : 42.16, Accuracy : 97.67
Elapsed Time : 43.16, Accuracy : 95.45
Elapsed Time : 44.16, Accuracy : 95.56
Elapsed Time : 45.17, Accuracy : 95.65
Elapsed Time : 46.17, Accuracy : 93.62
Elapsed Time : 47.17, Accuracy : 91.67
Elapsed Time : 48.17, Accuracy : 91.84
Elapsed Time : 49.18, Accuracy : 92.00
Elapsed Time : 50.18, Accuracy : 92.16
Elapsed Time : 51.18, Accuracy : 92.31
Elapsed Time : 52.19, Accuracy : 92.45
Elapsed Time : 53.19, Accuracy : 92.59
Elapsed Time : 54.20, Accuracy : 90.91
Elapsed Time : 55.20, Accuracy : 89.29
Elapsed Time : 56.20, Accuracy : 87.72
Elapsed Time : 57.20, Accuracy : 86.21
Elapsed Time : 58.20, Accuracy : 84.75
Elapsed Time : 59.20, Accuracy : 85.00
Elapsed Time : 60.21, Accuracy : 85.25
Elapsed Time : 61.21, Accuracy : 85.48
Elapsed Time : 62.21, Accuracy : 84.13
Elapsed Time : 63.22, Accuracy : 82.81
Elapsed Time : 64.22, Accuracy : 81.54
Elapsed Time : 65.22, Accuracy : 80.30
Elapsed Time : 66.22, Accuracy : 79.10
Elapsed Time : 67.22, Accuracy : 77.94
Elapsed Time : 68.22, Accuracy : 76.81
Elapsed Time : 69.23, Accuracy : 75.71
Elapsed Time : 70.23, Accuracy : 74.65
Elapsed Time : 71.23, Accuracy : 73.61
Elapsed Time : 72.23, Accuracy : 72.60
Elapsed Time : 73.23, Accuracy : 71.62
Elapsed Time : 74.23, Accuracy : 70.67
Elapsed Time : 75.24, Accuracy : 69.74
Elapsed Time : 76.24, Accuracy : 68.83
Elapsed Time : 77.24, Accuracy : 67.95
Elapsed Time : 78.24, Accuracy : 67.09
Elapsed Time : 79.24, Accuracy : 66.25
Elapsed Time : 80.24, Accuracy : 65.43
Elapsed Time : 81.25, Accuracy : 64.63
Elapsed Time : 82.25, Accuracy : 63.86
Elapsed Time : 83.25, Accuracy : 63.10
Elapsed Time : 84.25, Accuracy : 62.35
Elapsed Time : 85.25, Accuracy : 61.63
Elapsed Time : 86.25, Accuracy : 60.92
Elapsed Time : 87.25, Accuracy : 60.23
Elapsed Time : 88.26, Accuracy : 59.55
Elapsed Time : 89.26, Accuracy : 58.89
Elapsed Time : 90.26, Accuracy : 58.24
Elapsed Time : 91.26, Accuracy : 57.61
Elapsed Time : 92.26, Accuracy : 56.99
Elapsed Time : 93.27, Accuracy : 56.38
Elapsed Time : 94.27, Accuracy : 55.79
Elapsed Time : 95.27, Accuracy : 55.21
Elapsed Time : 96.27, Accuracy : 54.64
